region,year,population-weighted pm2.5 [ug/m3],geographic-mean pm2.5 [ug/m3],population coverage [%],geographic coverage [%],total population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Jharkhand,2008,56.6,53.5,100.0,100.0,32.612,100.0,100.0,100.0,100.0,100.0,99.8,99.0,95.2,75.6,52.4,34.2
Jharkhand,2009,54.4,51.0,100.0,100.0,33.209,100.0,100.0,100.0,100.0,100.0,99.5,97.5,80.3,63.9,47.2,31.3
Jharkhand,2010,48.5,45.4,100.0,100.0,33.805,100.0,100.0,100.0,100.0,99.7,98.7,85.1,56.2,39.7,27.3,14.4
Jharkhand,2011,57.9,54.3,100.0,100.0,34.38,100.0,100.0,100.0,100.0,100.0,99.9,99.1,93.8,77.1,55.7,39.6
Jharkhand,2012,54.7,51.5,100.0,100.0,34.954,100.0,100.0,100.0,100.0,100.0,99.7,98.0,87.0,62.5,43.4,32.7
Jharkhand,2013,55.5,52.4,100.0,100.0,35.529,100.0,100.0,100.0,100.0,100.0,99.8,98.8,89.9,71.0,46.2,32.5
Jharkhand,2014,54.5,51.4,100.0,100.0,36.103,100.0,100.0,100.0,100.0,100.0,99.6,98.3,85.0,61.4,42.8,31.6
Jharkhand,2015,56.8,53.6,100.0,100.0,36.677,100.0,100.0,100.0,100.0,100.0,99.8,99.0,93.2,77.2,54.5,36.9
Jharkhand,2016,59.0,55.9,100.0,100.0,37.251,100.0,100.0,100.0,100.0,100.0,99.7,98.9,96.6,85.2,64.7,45.5
Jharkhand,2017,58.1,54.7,100.0,100.0,37.824,100.0,100.0,100.0,100.0,100.0,99.8,99.1,93.9,77.0,59.9,40.7
Jharkhand,2018,55.8,52.4,100.0,100.0,38.397,100.0,100.0,100.0,100.0,100.0,99.7,98.3,86.5,72.3,48.0,32.7
Jharkhand,2019,56.2,53.5,100.0,100.0,38.97,100.0,100.0,100.0,100.0,100.0,99.8,98.9,95.2,72.2,49.7,34.5
Jharkhand,2020,54.5,51.3,100.0,100.0,39.544,100.0,100.0,100.0,100.0,100.0,99.6,97.8,82.6,57.9,42.9,31.7
Jharkhand,2021,57.2,54.0,100.0,100.0,39.544,100.0,100.0,100.0,100.0,100.0,99.7,98.9,91.4,67.1,50.9,38.6
Jharkhand,2022,48.4,45.9,100.0,100.0,39.544,100.0,100.0,100.0,100.0,100.0,99.5,95.3,61.8,36.5,21.3,3.9
Jharkhand,2023,48.9,46.6,100.0,100.0,39.544,100.0,100.0,100.0,100.0,100.0,99.2,87.3,59.3,41.0,29.5,11.7
Karnataka,1998,12.8,12.5,100.0,99.9,54.029,100.0,87.1,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,1999,14.0,13.7,100.0,99.9,54.029,100.0,95.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2000,18.9,18.4,100.0,99.9,54.029,100.0,99.9,89.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2001,19.6,19.0,100.0,99.9,54.844,100.0,100.0,93.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2002,20.7,20.2,100.0,99.9,55.659,100.0,100.0,97.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2003,21.3,20.9,100.0,99.9,56.475,100.0,100.0,97.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2004,21.3,20.5,100.0,99.9,57.29,100.0,100.0,97.9,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2005,23.3,22.6,100.0,99.9,58.105,100.0,100.0,97.5,39.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2006,23.3,22.6,100.0,99.9,58.88,100.0,100.0,99.2,40.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2007,25.1,24.5,100.0,99.9,59.655,100.0,100.0,99.7,53.1,7.6,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,2008,25.9,25.0,100.0,99.9,60.429,100.0,100.0,99.9,56.6,20.1,0.1,0.0,0.0,0.0,0.0,0.0
Karnataka,2009,26.7,26.0,100.0,99.9,61.204,100.0,100.0,99.9,65.9,23.2,0.7,0.0,0.0,0.0,0.0,0.0
Karnataka,2010,25.7,24.8,100.0,99.9,61.978,100.0,100.0,99.7,57.4,16.0,0.2,0.0,0.0,0.0,0.0,0.0
Karnataka,2011,26.1,25.1,100.0,99.9,62.695,100.0,100.0,99.9,61.4,19.8,0.7,0.0,0.0,0.0,0.0,0.0
Karnataka,2012,25.9,24.9,100.0,99.9,63.412,100.0,100.0,100.0,57.9,15.4,0.8,0.0,0.0,0.0,0.0,0.0
Karnataka,2013,24.5,23.7,100.0,99.9,64.129,100.0,100.0,99.1,46.1,11.4,0.2,0.0,0.0,0.0,0.0,0.0
Karnataka,2014,27.1,26.5,100.0,99.9,64.846,100.0,100.0,100.0,69.9,26.1,1.6,0.0,0.0,0.0,0.0,0.0
Karnataka,2015,26.2,25.6,100.0,99.9,65.563,100.0,100.0,100.0,57.1,21.0,1.5,0.0,0.0,0.0,0.0,0.0
Karnataka,2016,28.7,26.9,100.0,99.9,66.273,100.0,100.0,100.0,70.6,40.9,12.3,2.9,0.0,0.0,0.0,0.0
Karnataka,2017,27.3,26.5,100.0,99.9,66.983,100.0,100.0,99.8,66.4,29.9,8.1,0.1,0.0,0.0,0.0,0.0
Karnataka,2018,28.2,27.1,100.0,99.9,67.694,100.0,100.0,100.0,74.3,32.5,9.9,0.9,0.0,0.0,0.0,0.0
Karnataka,2019,26.0,24.6,100.0,99.9,68.404,100.0,100.0,99.8,56.7,21.6,4.9,0.1,0.0,0.0,0.0,0.0
Karnataka,2020,25.7,24.9,100.0,99.9,69.114,100.0,100.0,99.4,49.6,21.3,2.3,0.0,0.0,0.0,0.0,0.0
Karnataka,2021,26.8,25.8,100.0,99.9,69.114,100.0,100.0,100.0,60.0,25.1,6.9,0.2,0.0,0.0,0.0,0.0
Karnataka,2022,26.1,24.9,100.0,99.9,69.114,100.0,100.0,99.6,55.9,20.6,4.3,0.0,0.0,0.0,0.0,0.0
Karnataka,2023,24.9,24.2,100.0,99.9,69.114,100.0,100.0,99.6,42.1,14.9,0.3,0.0,0.0,0.0,0.0,0.0
Kerala,1998,11.9,10.5,100.0,100.0,31.798,100.0,68.8,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,1999,12.6,11.2,100.0,100.0,31.798,100.0,75.9,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2000,15.3,13.9,100.0,100.0,31.798,100.0,95.6,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2001,16.0,14.8,100.0,100.0,31.967,100.0,99.2,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2002,16.7,15.4,100.0,100.0,32.136,100.0,99.8,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2003,18.1,16.7,100.0,100.0,32.305,100.0,99.9,80.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2004,19.1,17.5,100.0,100.0,32.475,100.0,100.0,86.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2005,18.3,16.8,100.0,100.0,32.644,100.0,99.9,84.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2006,19.2,17.6,100.0,100.0,32.746,100.0,100.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2007,20.8,18.9,100.0,100.0,32.848,100.0,100.0,93.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2008,21.6,19.6,100.0,100.0,32.951,100.0,100.0,96.2,21.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2009,22.0,19.9,100.0,100.0,33.053,100.0,100.0,95.7,25.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2010,20.3,18.6,100.0,100.0,33.155,100.0,100.0,94.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2011,22.6,20.7,100.0,100.0,33.185,100.0,100.0,97.6,28.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2012,22.1,20.3,100.0,100.0,33.215,100.0,100.0,98.2,21.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2013,20.1,18.4,100.0,100.0,33.245,100.0,100.0,93.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2014,23.0,21.2,100.0,100.0,33.275,100.0,100.0,98.2,30.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2015,21.6,20.0,100.0,100.0,33.305,100.0,100.0,95.8,19.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2016,24.0,22.1,100.0,100.0,33.293,100.0,100.0,98.9,40.4,9.9,0.6,0.0,0.0,0.0,0.0,0.0
Kerala,2017,23.7,21.7,100.0,100.0,33.28,100.0,100.0,98.2,39.6,5.6,0.1,0.0,0.0,0.0,0.0,0.0
Kerala,2018,26.4,24.3,100.0,100.0,33.267,100.0,100.0,99.9,61.6,19.3,3.2,0.0,0.0,0.0,0.0,0.0
Kerala,2019,20.5,18.7,100.0,100.0,33.255,100.0,100.0,94.9,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2020,21.1,19.2,100.0,100.0,33.242,100.0,100.0,94.6,13.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2021,22.6,20.8,100.0,100.0,33.242,100.0,100.0,96.8,26.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2022,21.5,19.7,100.0,100.0,33.242,100.0,100.0,95.7,15.1,3.3,0.0,0.0,0.0,0.0,0.0,0.0
Kerala,2023,21.4,19.6,100.0,100.0,33.242,100.0,100.0,95.2,15.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,1998,23.7,23.8,91.0,87.5,0.024,100.0,100.0,100.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,1999,27.1,27.1,91.0,87.5,0.024,100.0,100.0,100.0,83.6,11.3,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2000,22.5,22.5,91.0,87.5,0.024,100.0,100.0,100.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2001,21.9,21.9,91.0,87.5,0.025,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2002,24.7,24.6,91.0,87.5,0.025,100.0,100.0,100.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2003,25.6,25.6,91.0,87.5,0.025,100.0,100.0,100.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2004,25.9,25.9,91.0,87.5,0.025,100.0,100.0,100.0,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2005,25.1,25.1,91.0,87.5,0.025,100.0,100.0,100.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2006,24.8,24.8,91.0,87.5,0.025,100.0,100.0,100.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2007,30.6,30.6,91.0,87.5,0.025,100.0,100.0,100.0,100.0,65.7,7.3,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2008,30.0,30.2,91.0,87.5,0.026,100.0,100.0,100.0,97.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2009,32.9,32.7,91.0,87.5,0.026,100.0,100.0,100.0,100.0,83.6,15.7,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2010,27.6,27.6,91.0,87.5,0.026,100.0,100.0,100.0,83.6,15.7,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2011,28.9,28.9,91.0,87.5,0.026,100.0,100.0,100.0,83.6,34.1,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2012,25.2,25.2,91.0,87.5,0.026,100.0,100.0,100.0,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2013,25.2,25.2,91.0,87.5,0.026,100.0,100.0,100.0,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2014,28.3,28.3,91.0,87.5,0.026,100.0,100.0,100.0,83.6,19.5,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2015,26.5,26.7,91.0,87.5,0.026,100.0,100.0,100.0,79.5,17.2,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2016,29.7,29.9,91.0,87.5,0.026,100.0,100.0,100.0,97.2,56.4,3.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2017,29.3,29.5,91.0,87.5,0.026,100.0,100.0,100.0,83.6,57.7,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2018,27.1,27.4,91.0,87.5,0.026,100.0,100.0,100.0,87.9,7.5,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2019,22.5,22.8,91.0,87.5,0.026,100.0,100.0,100.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2020,25.0,25.1,91.0,87.5,0.026,100.0,100.0,100.0,68.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2021,26.5,26.7,91.0,87.5,0.026,100.0,100.0,100.0,83.6,14.3,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2022,24.8,25.0,91.0,87.5,0.026,100.0,100.0,100.0,37.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,2023,25.8,26.0,91.0,87.5,0.026,100.0,100.0,100.0,83.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,1998,24.3,23.1,100.0,100.0,61.749,100.0,100.0,99.3,32.0,12.0,8.1,5.6,3.2,0.7,0.0,0.0
Madhya Pradesh,1999,25.1,24.0,100.0,100.0,61.749,100.0,100.0,99.1,36.6,15.1,8.5,5.7,3.5,1.0,0.0,0.0
Madhya Pradesh,2000,30.5,29.7,100.0,100.0,61.749,100.0,100.0,100.0,93.1,42.4,11.4,7.1,4.9,3.1,0.8,0.0
Madhya Pradesh,2001,32.3,31.5,100.0,100.0,62.974,100.0,100.0,100.0,98.7,59.3,15.4,8.7,6.2,4.3,2.9,0.9
Madhya Pradesh,2002,34.6,33.7,100.0,100.0,64.2,100.0,100.0,100.0,99.2,77.5,34.2,11.5,8.3,6.2,3.9,2.2
Madhya Pradesh,2003,36.7,35.6,100.0,100.0,65.425,100.0,100.0,100.0,99.8,88.2,48.8,18.0,9.8,7.2,4.9,3.6
Madhya Pradesh,2004,36.8,35.7,100.0,100.0,66.651,100.0,100.0,100.0,99.9,91.5,50.5,16.9,9.4,6.9,4.8,3.6
Madhya Pradesh,2005,35.0,33.8,100.0,100.0,67.876,100.0,100.0,100.0,98.8,78.6,36.1,12.3,8.4,6.4,4.6,3.5
Madhya Pradesh,2006,36.5,35.4,100.0,100.0,69.064,100.0,100.0,100.0,99.8,89.6,57.9,16.1,7.9,5.6,3.7,2.2
Madhya Pradesh,2007,38.9,37.8,100.0,100.0,70.252,100.0,100.0,100.0,100.0,97.4,73.8,27.0,10.6,7.8,5.7,4.0
Madhya Pradesh,2008,42.9,41.7,100.0,100.0,71.44,100.0,100.0,100.0,100.0,99.8,92.5,57.1,20.9,11.5,8.6,6.4
Madhya Pradesh,2009,40.8,39.5,100.0,100.0,72.629,100.0,100.0,100.0,100.0,98.8,84.7,42.9,13.3,8.8,7.0,5.2
Madhya Pradesh,2010,39.8,38.3,100.0,100.0,73.817,100.0,100.0,100.0,99.9,96.6,74.2,31.1,12.8,9.5,7.8,6.1
Madhya Pradesh,2011,43.7,42.2,100.0,100.0,74.934,100.0,100.0,100.0,100.0,99.5,91.3,65.8,31.5,11.4,8.1,6.4
Madhya Pradesh,2012,44.1,42.4,100.0,100.0,76.05,100.0,100.0,100.0,100.0,99.3,89.2,66.4,35.5,14.5,9.5,6.8
Madhya Pradesh,2013,44.1,42.6,100.0,100.0,77.167,100.0,100.0,100.0,100.0,99.9,94.9,72.6,32.7,11.4,7.3,5.8
Madhya Pradesh,2014,43.4,41.9,100.0,100.0,78.284,100.0,100.0,100.0,100.0,99.9,92.6,67.6,28.6,9.6,6.8,5.3
Madhya Pradesh,2015,44.5,43.1,100.0,100.0,79.401,100.0,100.0,100.0,100.0,100.0,96.7,74.2,33.6,12.4,7.5,6.0
Madhya Pradesh,2016,44.6,43.0,100.0,100.0,80.494,100.0,100.0,100.0,100.0,99.4,94.1,72.0,35.3,14.0,8.2,6.2
Madhya Pradesh,2017,48.1,46.3,100.0,100.0,81.586,100.0,100.0,100.0,100.0,100.0,99.0,89.2,63.4,26.1,10.4,7.4
Madhya Pradesh,2018,47.0,45.2,100.0,100.0,82.679,100.0,100.0,100.0,100.0,100.0,98.6,84.6,54.9,22.7,10.5,6.9
Madhya Pradesh,2019,47.0,45.2,100.0,100.0,83.772,100.0,100.0,100.0,100.0,99.9,97.7,84.5,55.2,20.2,9.9,7.3
Madhya Pradesh,2020,43.4,41.7,100.0,100.0,84.865,100.0,100.0,100.0,100.0,99.5,91.3,65.2,26.8,10.7,7.2,5.7
Madhya Pradesh,2021,46.3,44.6,100.0,100.0,84.865,100.0,100.0,100.0,100.0,100.0,98.2,84.9,51.7,19.4,8.2,5.5
Madhya Pradesh,2022,42.2,40.6,100.0,100.0,84.865,100.0,100.0,100.0,100.0,99.2,89.5,58.3,22.2,8.8,5.9,4.2
Madhya Pradesh,2023,42.3,40.7,100.0,100.0,84.865,100.0,100.0,100.0,100.0,99.4,86.6,59.4,23.2,10.3,6.8,4.9
Maharashtra,1998,21.3,19.1,99.8,99.9,98.293,100.0,100.0,91.6,21.6,10.2,0.3,0.0,0.0,0.0,0.0,0.0
Maharashtra,1999,21.7,19.7,99.8,99.9,98.293,100.0,100.0,92.6,25.1,12.3,0.5,0.0,0.0,0.0,0.0,0.0
Maharashtra,2000,26.8,25.2,99.8,99.9,98.293,100.0,100.0,100.0,62.9,20.0,6.7,0.0,0.0,0.0,0.0,0.0
Maharashtra,2001,28.0,26.9,99.8,99.9,99.841,100.0,100.0,100.0,78.3,30.5,4.6,0.0,0.0,0.0,0.0,0.0
Maharashtra,2002,28.7,27.5,99.8,99.9,101.389,100.0,100.0,100.0,85.6,35.2,4.1,0.0,0.0,0.0,0.0,0.0
Maharashtra,2003,31.0,29.4,99.8,99.9,102.937,100.0,100.0,100.0,93.9,57.1,16.9,0.2,0.0,0.0,0.0,0.0
Maharashtra,2004,31.7,30.1,99.8,99.9,104.484,100.0,100.0,100.0,92.5,64.6,23.8,3.9,0.0,0.0,0.0,0.0
Maharashtra,2005,32.2,30.6,99.8,99.9,106.032,100.0,100.0,100.0,96.8,71.9,23.6,1.3,0.0,0.0,0.0,0.0
Maharashtra,2006,34.1,32.5,99.8,99.9,107.492,100.0,100.0,100.0,96.6,83.7,43.3,7.2,0.0,0.0,0.0,0.0
Maharashtra,2007,34.9,33.3,99.8,99.9,108.952,100.0,100.0,100.0,99.4,89.7,44.5,15.4,0.6,0.0,0.0,0.0
Maharashtra,2008,37.8,36.0,99.8,99.9,110.412,100.0,100.0,100.0,99.8,95.1,70.6,34.1,8.6,0.1,0.0,0.0
Maharashtra,2009,36.7,34.7,99.8,99.9,111.872,100.0,100.0,100.0,99.9,95.6,59.4,24.5,3.6,0.0,0.0,0.0
Maharashtra,2010,35.7,33.6,99.8,99.9,113.332,100.0,100.0,100.0,99.7,92.0,53.5,19.9,0.9,0.0,0.0,0.0
Maharashtra,2011,37.7,35.6,99.8,99.9,114.664,100.0,100.0,100.0,99.8,94.3,68.1,32.6,12.1,0.0,0.0,0.0
Maharashtra,2012,38.2,35.6,99.8,99.9,115.996,100.0,100.0,100.0,100.0,96.0,70.9,33.8,13.1,2.6,0.0,0.0
Maharashtra,2013,38.9,36.9,99.8,99.9,117.328,100.0,100.0,100.0,98.8,94.3,73.0,45.2,16.4,0.8,0.0,0.0
Maharashtra,2014,39.1,37.1,99.8,99.9,118.66,100.0,100.0,100.0,100.0,97.3,77.8,38.5,16.4,2.0,0.0,0.0
Maharashtra,2015,43.8,39.6,99.8,99.9,119.992,100.0,100.0,100.0,99.9,97.8,88.3,60.4,35.1,21.8,12.4,7.9
Maharashtra,2016,41.3,38.0,99.8,99.9,121.278,100.0,100.0,100.0,100.0,97.0,84.5,46.7,26.2,17.3,5.8,0.3
Maharashtra,2017,43.4,40.9,99.8,99.9,122.564,100.0,100.0,100.0,100.0,98.1,92.7,68.7,42.7,14.5,2.8,0.0
Maharashtra,2018,44.4,41.1,99.8,99.9,123.85,100.0,100.0,100.0,100.0,99.8,93.4,67.8,40.8,21.6,10.4,6.2
Maharashtra,2019,40.6,39.1,99.8,99.9,125.136,100.0,100.0,100.0,99.8,96.3,80.3,54.3,26.9,4.8,0.2,0.0
Maharashtra,2020,39.4,38.3,99.8,99.9,126.422,100.0,100.0,100.0,100.0,97.4,77.4,42.2,18.4,3.2,0.1,0.0
Maharashtra,2021,43.1,42.0,99.8,99.9,126.422,100.0,100.0,100.0,100.0,99.9,94.4,70.8,35.6,9.3,0.5,0.0
Maharashtra,2022,40.7,38.8,99.8,99.9,126.422,100.0,100.0,100.0,100.0,97.8,87.0,54.6,21.8,3.7,0.1,0.0
Maharashtra,2023,40.1,38.5,99.8,99.9,126.422,100.0,100.0,100.0,100.0,97.3,78.1,51.0,23.2,4.3,0.0,0.0
Manipur,1998,19.9,18.4,100.0,100.0,2.374,100.0,100.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,1999,20.2,18.8,100.0,100.0,2.374,100.0,100.0,99.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2000,23.2,20.5,100.0,100.0,2.374,100.0,100.0,99.9,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2001,22.6,19.7,100.0,100.0,2.428,100.0,100.0,100.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2002,25.0,21.5,100.0,100.0,2.482,100.0,100.0,100.0,53.2,11.5,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2003,25.3,22.0,100.0,100.0,2.537,100.0,100.0,100.0,54.5,13.1,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2004,25.4,23.0,100.0,100.0,2.591,100.0,100.0,100.0,58.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2005,26.9,23.2,100.0,100.0,2.645,100.0,100.0,100.0,62.3,35.0,0.2,0.0,0.0,0.0,0.0,0.0
Manipur,2006,30.5,27.8,100.0,100.0,2.701,100.0,100.0,100.0,84.2,59.0,14.5,0.0,0.0,0.0,0.0,0.0
Manipur,2007,27.9,25.4,100.0,100.0,2.757,100.0,100.0,100.0,73.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,2008,26.5,23.0,100.0,100.0,2.814,100.0,100.0,100.0,61.3,33.9,0.1,0.0,0.0,0.0,0.0,0.0
Manipur,2009,30.7,28.1,100.0,100.0,2.87,100.0,100.0,100.0,86.2,58.1,19.6,0.0,0.0,0.0,0.0,0.0
Manipur,2010,28.5,24.5,100.0,100.0,2.926,100.0,100.0,100.0,70.3,52.2,13.6,0.0,0.0,0.0,0.0,0.0
Manipur,2011,29.8,26.0,100.0,100.0,2.984,100.0,100.0,100.0,75.3,54.6,20.3,0.0,0.0,0.0,0.0,0.0
Manipur,2012,34.2,29.6,100.0,100.0,3.042,100.0,100.0,100.0,86.1,70.4,52.0,23.7,1.1,0.0,0.0,0.0
Manipur,2013,29.9,25.4,100.0,100.0,3.099,100.0,100.0,100.0,72.2,53.9,29.0,1.6,0.0,0.0,0.0,0.0
Manipur,2014,29.5,25.6,100.0,100.0,3.157,100.0,100.0,100.0,72.3,54.0,20.4,0.0,0.0,0.0,0.0,0.0
Manipur,2015,30.8,26.9,100.0,100.0,3.215,100.0,100.0,100.0,77.3,59.5,35.5,2.7,0.0,0.0,0.0,0.0
Manipur,2016,29.4,25.4,100.0,100.0,3.277,100.0,100.0,100.0,72.4,50.5,17.8,0.2,0.0,0.0,0.0,0.0
Manipur,2017,27.4,24.2,100.0,100.0,3.34,100.0,100.0,100.0,64.5,42.0,3.1,0.0,0.0,0.0,0.0,0.0
Manipur,2018,35.6,30.6,100.0,100.0,3.402,100.0,100.0,100.0,86.1,71.2,55.8,40.6,10.2,0.0,0.0,0.0
Manipur,2019,29.0,25.3,100.0,100.0,3.464,100.0,100.0,100.0,69.0,53.4,15.3,0.0,0.0,0.0,0.0,0.0
Manipur,2020,30.0,26.0,100.0,100.0,3.526,100.0,100.0,100.0,71.2,54.4,32.5,2.8,0.0,0.0,0.0,0.0
Manipur,2021,32.7,28.6,100.0,100.0,3.526,100.0,100.0,100.0,79.8,63.6,47.7,13.9,0.0,0.0,0.0,0.0
Manipur,2022,26.5,22.8,100.0,100.0,3.526,100.0,100.0,100.0,58.6,39.8,3.1,0.0,0.0,0.0,0.0,0.0
Manipur,2023,26.4,23.1,100.0,100.0,3.526,100.0,100.0,100.0,57.9,34.0,2.9,0.0,0.0,0.0,0.0,0.0
Meghalaya,1998,18.3,18.0,100.0,100.0,2.721,100.0,91.9,62.0,17.6,3.7,0.8,0.0,0.0,0.0,0.0,0.0
Meghalaya,1999,18.3,17.9,100.0,100.0,2.721,100.0,90.4,61.7,19.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0
Meghalaya,2000,24.3,24.0,100.0,100.0,2.721,100.0,100.0,99.6,42.2,21.4,6.0,0.9,0.0,0.0,0.0,0.0
Meghalaya,2001,26.1,25.9,100.0,100.0,2.791,100.0,100.0,100.0,50.9,26.8,8.0,1.7,0.0,0.0,0.0,0.0
Meghalaya,2002,25.5,25.4,100.0,100.0,2.861,100.0,100.0,100.0,54.1,22.6,3.9,0.2,0.0,0.0,0.0,0.0
Meghalaya,2003,27.5,27.1,100.0,100.0,2.931,100.0,100.0,100.0,61.6,34.6,15.0,1.8,0.0,0.0,0.0,0.0
Meghalaya,2004,27.3,27.0,100.0,100.0,3.001,100.0,100.0,100.0,59.2,30.8,12.9,2.6,0.0,0.0,0.0,0.0
Meghalaya,2005,28.5,28.1,100.0,100.0,3.071,100.0,100.0,100.0,61.9,42.0,23.2,5.8,0.8,0.0,0.0,0.0
Meghalaya,2006,32.9,32.5,100.0,100.0,3.142,100.0,100.0,100.0,83.7,62.4,37.2,21.2,6.3,0.8,0.0,0.0
Meghalaya,2007,29.6,29.3,100.0,100.0,3.214,100.0,100.0,100.0,67.7,47.6,26.2,9.8,1.4,0.0,0.0,0.0
Meghalaya,2008,29.8,29.5,100.0,100.0,3.285,100.0,100.0,100.0,68.3,47.6,25.3,8.8,1.3,0.0,0.0,0.0
Meghalaya,2009,36.7,36.5,100.0,100.0,3.356,100.0,100.0,100.0,95.9,75.8,55.5,30.8,17.7,5.7,0.8,0.0
Meghalaya,2010,28.9,27.9,100.0,100.0,3.428,100.0,100.0,97.9,59.7,42.7,28.9,14.5,6.4,2.8,0.1,0.0
Meghalaya,2011,32.0,31.6,100.0,100.0,3.499,100.0,100.0,100.0,78.1,56.6,33.1,18.4,7.1,1.2,0.0,0.0
